# IPSpamList.com Public Feeds
# ===========================
# update_time: "22/May/2024 12:57:14"
# These feeds are not updated and are just a sample

first_seen,last_seen,ip_address,category,attacks_count
2017-03-27 01:44:37,2022-03-11 13:19:08,80.82.77.139,FTP,1645
2017-03-27 09:23:06,2022-03-12 10:24:44,139.162.99.243,Postfix,1642
2017-03-24 08:43:20,2022-03-11 22:45:42,80.82.77.33,Postfix,1640
2017-04-05 07:02:23,2022-03-12 16:47:39,184.105.139.68,RDP Attack,1636
2017-04-05 06:39:46,2022-03-12 06:17:54,184.105.138.0/32,RDP Attack,1632
